INFO:root:Vanila_GAN_on_MNIST:
    - model name: Vanila_GAN
    - optimizer: Adam
    - learning rate: 0.0002
    - weight_decay: 0.0001
    - step_size: 200
    - gamma: 0.5
    - batch size: 512
    - device : cuda:0
    - epochs: 1000
    - load_checkpoint: False
    - mutil_gpu: True
    - gpus: ['cuda:0', 'cuda:1']
 
INFO:root:epoche 221, gen loss = 1.456648, dis loss = 0.338393
INFO:root:epoche 222, gen loss = 1.269119, dis loss = 0.397117
INFO:root:epoche 223, gen loss = 1.869265, dis loss = 0.346412
INFO:root:epoche 224, gen loss = 1.924358, dis loss = 0.418070
INFO:root:epoche 225, gen loss = 1.816807, dis loss = 0.358713
INFO:root:epoche 226, gen loss = 1.697017, dis loss = 0.370730
INFO:root:epoche 227, gen loss = 1.398186, dis loss = 0.331821
INFO:root:epoche 228, gen loss = 1.448243, dis loss = 0.387897
INFO:root:epoche 229, gen loss = 1.855458, dis loss = 0.371693
INFO:root:epoche 230, gen loss = 1.608785, dis loss = 0.471173
INFO:root:epoche 231, gen loss = 1.427633, dis loss = 0.295254
INFO:root:epoche 232, gen loss = 1.438723, dis loss = 0.272746
INFO:root:epoche 233, gen loss = 1.771633, dis loss = 0.278251
INFO:root:epoche 234, gen loss = 1.718097, dis loss = 0.368348
INFO:root:epoche 235, gen loss = 1.695647, dis loss = 0.498561
INFO:root:epoche 236, gen loss = 1.314130, dis loss = 0.385571
INFO:root:epoche 237, gen loss = 1.558688, dis loss = 0.298449
INFO:root:epoche 238, gen loss = 1.698438, dis loss = 0.309118
INFO:root:epoche 239, gen loss = 1.295028, dis loss = 0.381360
INFO:root:epoche 240, gen loss = 1.635237, dis loss = 0.308065
INFO:root:epoche 241, gen loss = 1.668317, dis loss = 0.374983
INFO:root:epoche 242, gen loss = 2.928895, dis loss = 0.862321
INFO:root:epoche 243, gen loss = 1.340437, dis loss = 0.396519
INFO:root:epoche 244, gen loss = 1.164694, dis loss = 0.435441
INFO:root:epoche 245, gen loss = 1.692652, dis loss = 0.306312
INFO:root:epoche 246, gen loss = 1.237354, dis loss = 0.345604
INFO:root:epoche 247, gen loss = 1.701380, dis loss = 0.300489
INFO:root:epoche 248, gen loss = 1.606858, dis loss = 0.383827
INFO:root:epoche 249, gen loss = 1.573783, dis loss = 0.373165
INFO:root:epoche 250, gen loss = 1.271737, dis loss = 0.400813
INFO:root:epoche 251, gen loss = 1.392445, dis loss = 0.413258
INFO:root:epoche 252, gen loss = 1.270758, dis loss = 0.478930
INFO:root:epoche 253, gen loss = 1.649098, dis loss = 0.269171
INFO:root:epoche 254, gen loss = 1.381135, dis loss = 0.319171
INFO:root:epoche 255, gen loss = 1.659058, dis loss = 0.309964
INFO:root:epoche 256, gen loss = 1.521124, dis loss = 0.396132
INFO:root:epoche 257, gen loss = 1.296372, dis loss = 0.337302
INFO:root:epoche 258, gen loss = 1.611595, dis loss = 0.324374
INFO:root:epoche 259, gen loss = 1.473695, dis loss = 0.445962
INFO:root:epoche 260, gen loss = 1.824041, dis loss = 0.273713
INFO:root:epoche 261, gen loss = 1.720046, dis loss = 0.242684
INFO:root:epoche 262, gen loss = 1.279746, dis loss = 0.399833
INFO:root:epoche 263, gen loss = 1.644233, dis loss = 0.397416
INFO:root:epoche 264, gen loss = 1.491701, dis loss = 0.368327
INFO:root:epoche 265, gen loss = 1.664691, dis loss = 0.383217
INFO:root:epoche 266, gen loss = 1.599881, dis loss = 0.441643
INFO:root:epoche 267, gen loss = 1.698007, dis loss = 0.276580
INFO:root:epoche 268, gen loss = 1.854523, dis loss = 0.530048
INFO:root:epoche 269, gen loss = 2.101787, dis loss = 0.260504
INFO:root:epoche 270, gen loss = 1.465082, dis loss = 0.369533
INFO:root:epoche 271, gen loss = 1.391751, dis loss = 0.331220
INFO:root:epoche 272, gen loss = 1.657375, dis loss = 0.434545
INFO:root:epoche 273, gen loss = 1.556050, dis loss = 0.367168
INFO:root:epoche 274, gen loss = 1.612447, dis loss = 0.306463
INFO:root:epoche 275, gen loss = 1.659930, dis loss = 0.304642
INFO:root:epoche 276, gen loss = 1.533377, dis loss = 0.308812
INFO:root:epoche 277, gen loss = 1.635343, dis loss = 0.381562
INFO:root:epoche 278, gen loss = 1.467277, dis loss = 0.412329
INFO:root:epoche 279, gen loss = 1.621067, dis loss = 0.327763
INFO:root:epoche 280, gen loss = 1.344553, dis loss = 0.355432
INFO:root:epoche 281, gen loss = 2.153621, dis loss = 0.434033
INFO:root:epoche 282, gen loss = 1.325452, dis loss = 0.369721
INFO:root:epoche 283, gen loss = 1.847686, dis loss = 0.428492
INFO:root:epoche 284, gen loss = 2.114606, dis loss = 0.444964
INFO:root:epoche 285, gen loss = 1.390984, dis loss = 0.420585
INFO:root:epoche 286, gen loss = 1.535728, dis loss = 0.312628
INFO:root:epoche 287, gen loss = 1.382734, dis loss = 0.350901
INFO:root:epoche 288, gen loss = 1.656096, dis loss = 0.342417
INFO:root:epoche 289, gen loss = 1.542699, dis loss = 0.348593
INFO:root:epoche 290, gen loss = 1.550011, dis loss = 0.351517
INFO:root:epoche 291, gen loss = 1.474925, dis loss = 0.387129
INFO:root:epoche 292, gen loss = 1.674891, dis loss = 0.324408
INFO:root:epoche 293, gen loss = 1.556287, dis loss = 0.359454
INFO:root:epoche 294, gen loss = 1.867905, dis loss = 0.431544
INFO:root:epoche 295, gen loss = 1.420384, dis loss = 0.438838
INFO:root:epoche 296, gen loss = 2.168188, dis loss = 0.411062
INFO:root:epoche 297, gen loss = 2.260715, dis loss = 0.549546
INFO:root:epoche 298, gen loss = 1.404926, dis loss = 0.442388
INFO:root:epoche 299, gen loss = 1.260242, dis loss = 0.472127
INFO:root:epoche 300, gen loss = 1.400035, dis loss = 0.451174
INFO:root:epoche 301, gen loss = 1.552149, dis loss = 0.293273
INFO:root:epoche 302, gen loss = 1.270179, dis loss = 0.446096
INFO:root:epoche 303, gen loss = 1.808011, dis loss = 0.210005
INFO:root:epoche 304, gen loss = 1.580639, dis loss = 0.286825
INFO:root:epoche 305, gen loss = 2.380499, dis loss = 0.514461
INFO:root:epoche 306, gen loss = 1.394151, dis loss = 0.360630
INFO:root:epoche 307, gen loss = 1.439570, dis loss = 0.522372
INFO:root:epoche 308, gen loss = 2.101909, dis loss = 0.347881
INFO:root:epoche 309, gen loss = 1.697237, dis loss = 0.294157
INFO:root:epoche 310, gen loss = 1.673674, dis loss = 0.258327
INFO:root:epoche 311, gen loss = 1.417418, dis loss = 0.280656
INFO:root:epoche 312, gen loss = 1.165151, dis loss = 0.427055
INFO:root:epoche 313, gen loss = 1.474799, dis loss = 0.348197
INFO:root:epoche 314, gen loss = 1.425902, dis loss = 0.417716
INFO:root:epoche 315, gen loss = 1.964283, dis loss = 0.339376
INFO:root:epoche 316, gen loss = 2.149413, dis loss = 0.224071
INFO:root:epoche 317, gen loss = 1.455470, dis loss = 0.306538
INFO:root:epoche 318, gen loss = 1.806110, dis loss = 0.447722
INFO:root:epoche 319, gen loss = 1.483701, dis loss = 0.346494
INFO:root:epoche 320, gen loss = 1.838001, dis loss = 0.303665
INFO:root:epoche 321, gen loss = 1.696130, dis loss = 0.360540
INFO:root:epoche 322, gen loss = 2.050251, dis loss = 0.217455
INFO:root:epoche 323, gen loss = 1.913454, dis loss = 0.343320
INFO:root:epoche 324, gen loss = 1.868488, dis loss = 0.261941
INFO:root:epoche 325, gen loss = 2.123658, dis loss = 0.474787
INFO:root:epoche 326, gen loss = 2.224782, dis loss = 0.271870
INFO:root:epoche 327, gen loss = 2.525423, dis loss = 0.469219
INFO:root:epoche 328, gen loss = 1.619312, dis loss = 0.295193
INFO:root:epoche 329, gen loss = 1.818586, dis loss = 0.265933
INFO:root:epoche 330, gen loss = 1.511186, dis loss = 0.305656
INFO:root:epoche 331, gen loss = 2.011563, dis loss = 0.224033
INFO:root:epoche 332, gen loss = 1.836978, dis loss = 0.272272
INFO:root:epoche 333, gen loss = 2.028511, dis loss = 0.263486
INFO:root:epoche 334, gen loss = 1.567675, dis loss = 0.387316
INFO:root:epoche 335, gen loss = 1.315701, dis loss = 0.355731
INFO:root:epoche 336, gen loss = 1.775255, dis loss = 0.345519
INFO:root:epoche 337, gen loss = 1.468271, dis loss = 0.287283
INFO:root:epoche 338, gen loss = 1.641328, dis loss = 0.325145
INFO:root:epoche 339, gen loss = 1.464227, dis loss = 0.362978
INFO:root:epoche 340, gen loss = 1.531028, dis loss = 0.345525
INFO:root:epoche 341, gen loss = 2.126512, dis loss = 0.496318
INFO:root:epoche 342, gen loss = 1.787077, dis loss = 0.380651
INFO:root:epoche 343, gen loss = 2.066893, dis loss = 0.446319
INFO:root:epoche 344, gen loss = 1.635139, dis loss = 0.431341
INFO:root:epoche 345, gen loss = 1.758091, dis loss = 0.350212
INFO:root:epoche 346, gen loss = 1.879890, dis loss = 0.451184
INFO:root:epoche 347, gen loss = 1.392069, dis loss = 0.404452
INFO:root:epoche 348, gen loss = 1.416556, dis loss = 0.432461
INFO:root:epoche 349, gen loss = 1.606014, dis loss = 0.399897
INFO:root:epoche 350, gen loss = 1.499021, dis loss = 0.328351
INFO:root:epoche 351, gen loss = 1.564037, dis loss = 0.325908
INFO:root:epoche 352, gen loss = 1.376404, dis loss = 0.416891
INFO:root:epoche 353, gen loss = 1.315235, dis loss = 0.382688
INFO:root:epoche 354, gen loss = 1.463941, dis loss = 0.446796
INFO:root:epoche 355, gen loss = 1.323040, dis loss = 0.447148
INFO:root:epoche 356, gen loss = 1.776310, dis loss = 0.341816
INFO:root:epoche 357, gen loss = 1.494036, dis loss = 0.467411
INFO:root:epoche 358, gen loss = 1.672088, dis loss = 0.476089
INFO:root:epoche 359, gen loss = 1.374461, dis loss = 0.399725
INFO:root:epoche 360, gen loss = 1.419938, dis loss = 0.455095
INFO:root:epoche 361, gen loss = 1.545271, dis loss = 0.401037
INFO:root:epoche 362, gen loss = 1.287349, dis loss = 0.444990
INFO:root:epoche 363, gen loss = 1.322147, dis loss = 0.365805
INFO:root:epoche 364, gen loss = 1.888342, dis loss = 0.436803
INFO:root:epoche 365, gen loss = 1.559983, dis loss = 0.413830
INFO:root:epoche 366, gen loss = 1.590586, dis loss = 0.337763
INFO:root:epoche 367, gen loss = 1.475543, dis loss = 0.459763
INFO:root:epoche 368, gen loss = 1.702405, dis loss = 0.338177
INFO:root:epoche 369, gen loss = 1.475664, dis loss = 0.342970
INFO:root:epoche 370, gen loss = 1.867092, dis loss = 0.438888
INFO:root:epoche 371, gen loss = 1.636870, dis loss = 0.347013
INFO:root:epoche 372, gen loss = 1.683172, dis loss = 0.413094
INFO:root:epoche 373, gen loss = 2.039935, dis loss = 0.360032
INFO:root:epoche 374, gen loss = 1.624911, dis loss = 0.375898
INFO:root:epoche 375, gen loss = 2.227275, dis loss = 0.598639
INFO:root:epoche 376, gen loss = 1.408343, dis loss = 0.352865
INFO:root:epoche 377, gen loss = 1.739075, dis loss = 0.404157
INFO:root:epoche 378, gen loss = 1.851389, dis loss = 0.372994
INFO:root:epoche 379, gen loss = 1.978222, dis loss = 0.307896
INFO:root:epoche 380, gen loss = 1.508887, dis loss = 0.308614
INFO:root:epoche 381, gen loss = 1.594045, dis loss = 0.413047
INFO:root:epoche 382, gen loss = 1.583468, dis loss = 0.414906
INFO:root:epoche 383, gen loss = 1.531746, dis loss = 0.303630
INFO:root:epoche 384, gen loss = 1.664320, dis loss = 0.446516
INFO:root:epoche 385, gen loss = 1.688705, dis loss = 0.291838
